Threshold	Macro_F1	Precision	Recall	MCC	Accuracy	Precisions	Recalls	F1s	Support
0.2	0.6574144319718465	0.7046429677819083	0.6325615812973462	0.32941035448541456	0.8910478834142956	[0.48958333 0.9197026 ]	[0.30322581 0.96189736]	[0.37450199 0.94032687]	[ 155 1286]
0.25	0.7559809474397221	0.7568935219334403	0.755080242702761	0.511970553542092	0.8695350451075642	[0.59210526 0.92168178]	[0.58695652 0.92320396]	[0.58951965 0.92244224]	[ 230 1211]
0.3	0.7782644007074164	0.7785694154315461	0.7779611248966087	0.5565302078958276	0.8452463566967384	[0.65740741 0.89973142]	[0.65538462 0.90053763]	[0.65639445 0.90013435]	[ 325 1116]
0.35	0.798199826857463	0.8483128834355829	0.7742564350286385	0.6181490101442811	0.8473282442748091	[0.85       0.84662577]	[0.59302326 0.95548961]	[0.69863014 0.89776952]	[ 430 1011]
0.39999999999999997	0.842906856940092	0.858758571555793	0.8332175322795436	0.6915045795884666	0.8584316446911867	[0.85964912 0.85786802]	[0.73684211 0.92959296]	[0.79352227 0.89229145]	[532 909]
0.44999999999999996	0.8363502282397881	0.8414049274034536	0.8338709049121577	0.6752338026303498	0.8396946564885496	[0.85084746 0.8319624 ]	[0.77829457 0.88944724]	[0.81295547 0.85974499]	[645 796]
0.49999999999999994	0.8792248704263887	0.8818470167295233	0.880764483530047	0.7626107319268624	0.8792505204718946	[0.92296296 0.84073107]	[0.83624161 0.92528736]	[0.87746479 0.88098495]	[745 696]
0.5499999999999999	0.8434115085633118	0.8466130928291997	0.8595681048511237	0.7060623567509656	0.8445523941707148	[0.9490085  0.74421769]	[0.78088578 0.93825043]	[0.85677749 0.83004552]	[858 583]
0.5999999999999999	0.8681947491221407	0.8600559615113634	0.8823388582739442	0.7420603351183295	0.8771686328938237	[0.94252874 0.77758319]	[0.86589229 0.89878543]	[0.90258668 0.83380282]	[947 494]
0.6499999999999999	0.8604992509948031	0.8422806597432277	0.8975395837907731	0.7377536472670373	0.8799444829979182	[0.97306034 0.71150097]	[0.85918173 0.93589744]	[0.91258211 0.80841639]	[1051  390]
0.7	0.8473311833958675	0.8216509353499744	0.891840798891711	0.710030871080406	0.8861901457321305	[0.97093023 0.67237164]	[0.88204225 0.90163934]	[0.92435424 0.77030812]	[1136  305]
0.7499999999999998	0.8372443989455143	0.8085693885877485	0.8801475604064194	0.6849872999924392	0.9021512838306731	[0.96929825 0.64784053]	[0.91246903 0.84782609]	[0.94002552 0.73446328]	[1211  230]
0.7999999999999998	0.839158829676071	0.8322099103122325	0.8465377523291926	0.6785964209191903	0.9347675225537821	[0.96619497 0.69822485]	[0.96015625 0.73291925]	[0.96316614 0.71515152]	[1280  161]
